id_municipio,alunos,taxa_prevista,taxa_real_2024,meta_2025,meta_2030,nome,sigla_uf,gap_previsto_meta_2025
3525102,402,0.5396816887087474,0.4577114427860697,65.37,80.0,Jardinópolis,SP,-11.401831129125263
2513703,930,0.4187163715648361,0.3817204301075269,53.27,80.0,Santa Rita,PB,-11.398362843516395
2932903,417,0.3428357915705832,0.31894484412470026,45.66,80.0,Valença,BA,-11.376420842941677
2101731,108,0.5586626281257101,0.7222222222222222,67.24,80.0,Belágua,MA,-11.373737187428986
1504455,292,0.47748197983655716,0.4828767123287671,59.08,80.0,Medicilândia,PA,-11.331802016344284
4213708,245,0.5947062763930876,0.6285714285714286,70.8,80.0,Pouso Redondo,SC,-11.329372360691238
1506500,766,0.41930427907925016,0.34073107049608353,53.25,80.0,Santa Isabel do Pará,PA,-11.319572092074985
2515302,376,0.3666161737834608,0.39361702127659576,47.97,80.0,Sapé,PB,-11.30838262165392
3127800,130,0.6287226231420204,0.8615384615384616,74.18,80.0,Grão Mogol,MG,-11.30773768579796
1303205,247,0.6581165433678371,0.5870445344129555,77.11,80.0,Novo Airão,AM,-11.298345663216296
2612604,462,0.4541619677082711,0.645021645021645,56.71,80.0,Santa Maria da Boa Vista,PE,-11.293803229172887
2930303,136,0.32645881481573136,0.33088235294117646,43.93,80.0,Serra Dourada,BA,-11.284118518426865
3302254,348,0.5852819088979117,0.6810344827586207,69.81,80.0,Itatiaia,RJ,-11.28180911020884
2918407,2494,0.345049211197607,0.29310344827586204,45.77,80.0,Juazeiro,BA,-11.265078880239301
2201507,208,0.44079793647785726,0.46634615384615385,55.33,80.0,Batalha,PI,-11.25020635221427
2508307,210,0.59593301325193,0.4714285714285714,70.83,80.0,Lagoa Seca,PB,-11.236698674806995
2930907,127,0.3827449625920524,0.4330708661417323,49.5,80.0,Tabocas do Brejo Velho,BA,-11.225503740794764
3115102,170,0.6234705260776707,0.7764705882352941,73.57,80.0,Cássia,MG,-11.222947392232918
2205201,164,0.6806554864900738,0.5914634146341463,79.28,80.0,Jaicós,PI,-11.214451350992618
2909109,140,0.4672773589406559,0.30714285714285716,57.93,80.0,Coribe,BA,-11.202264105934411
2907905,193,0.3182169802180428,0.31088082901554404,42.99,80.0,Cipó,BA,-11.168301978195721
1702554,191,0.4861639706853589,0.5968586387434555,59.78,80.0,Augustinópolis,TO,-11.163602931464112
2926509,162,0.325394882401994,0.3395061728395062,43.7,80.0,Ribeira do Amparo,BA,-11.160511759800606
4318408,133,0.6885518931729011,0.6240601503759399,80.0,80.0,São Jerônimo,RS,-11.144810682709888
2516706,123,0.63908741946142,0.8211382113821138,75.05,80.0,Teixeira,PB,-11.141258053857996
2912202,249,0.3182115202054546,0.3253012048192771,42.96,80.0,Ibicoara,BA,-11.138847979454539
5004502,243,0.6137381786458782,0.5473251028806584,72.48,80.0,Itaporã,MS,-11.106182135412183
2600302,230,0.6317510893135788,0.6391304347826087,74.28,80.0,Agrestina,PE,-11.104891068642118
2806206,176,0.36797990230971855,0.44886363636363635,47.88,80.0,Salgado,SE,-11.082009769028147
3108552,206,0.6662860580884032,0.7669902912621359,77.71,80.0,Brasilândia de Minas,MG,-11.081394191159674
1500602,1559,0.4637927571180517,0.4573444515715202,57.46,80.0,Altamira,PA,-11.08072428819483
2601607,174,0.49762814667613875,0.632183908045977,60.84,80.0,Belém do São Francisco,PE,-11.07718533238613
2912103,166,0.34465621795525525,0.3795180722891566,45.54,80.0,Ibicaraí,BA,-11.074378204474478
2928802,499,0.3590995182318104,0.3186372745490982,46.98,80.0,Santo Estêvão,BA,-11.070048176818958
2902500,142,0.4148735288030163,0.3591549295774648,52.55,80.0,Baianópolis,BA,-11.062647119698369
2702553,137,0.3742866710600453,0.36496350364963503,48.49,80.0,Estrela de Alagoas,AL,-11.06133289399547
2805604,228,0.27997110750320353,0.17543859649122806,39.04,80.0,Porto da Folha,SE,-11.042889249679646
1303106,304,0.49692599518465996,0.3782894736842105,60.73,80.0,Nova Olinda do Norte,AM,-11.037400481534
2918357,254,0.3752664664769151,0.531496062992126,48.56,80.0,João Dourado,BA,-11.033353352308495
2701803,157,0.44208378140739146,0.3885350318471338,55.23,80.0,Carneiros,AL,-11.021621859260854
3154309,129,0.6315735012498105,0.627906976744186,74.16,80.0,Resplendor,MG,-11.002649875018946
2800308,3727,0.33527971717540894,0.43681244969144084,44.53,80.0,Aracaju,SE,-11.002028282459108
3161502,106,0.6900894082003202,0.8773584905660378,80.0,80.0,São Geraldo,MG,-10.991059179967976
2905701,2552,0.3672500788814389,0.36559561128526646,47.7,80.0,Camaçari,BA,-10.97499211185611
2933000,102,0.3567792609016027,0.37254901960784315,46.64,80.0,Valente,BA,-10.96207390983973
1500909,512,0.4063422742153374,0.453125,51.58,80.0,Augusto Corrêa,PA,-10.945772578466254
1507953,1000,0.3997274317503632,0.383,50.91,80.0,Tailândia,PA,-10.937256824963676
5003454,179,0.6906601105378813,0.664804469273743,80.0,80.0,Deodápolis,MS,-10.93398894621187
2909208,111,0.327631900075536,0.36036036036036034,43.69,80.0,Coronel João Sá,BA,-10.926809992446401
1508159,397,0.5923789632157099,0.6120906801007556,70.15,80.0,Uruará,PA,-10.912103678429013
3305158,252,0.6317158487297045,0.7658730158730159,74.08,80.0,São José do Vale do Rio Preto,RJ,-10.908415127029542
3128303,210,0.6469495202686399,0.6476190476190476,75.58,80.0,Guaranésia,MG,-10.885047973135997
3111101,120,0.6718555465130917,0.7416666666666667,78.07,80.0,Campina Verde,MG,-10.884445348690832
2920403,120,0.41447624282306217,0.4166666666666667,52.32,80.0,Manoel Vitorino,BA,-10.872375717693785
1100338,404,0.5764599796886103,0.45792079207920794,68.5,80.0,Nova Mamoré,RO,-10.854002031138968
4217006,189,0.5952122459398439,0.6878306878306878,70.37,80.0,São Ludgero,SC,-10.848775406015612
2606507,173,0.5991311572717593,0.8208092485549133,70.7,80.0,Iati,PE,-10.786884272824075
2902708,474,0.31274250679671667,0.2848101265822785,42.06,80.0,Barra,BA,-10.785749320328335
5003306,467,0.4165085493543351,0.3961456102783726,52.43,80.0,Coxim,MS,-10.779145064566485
2615300,346,0.6514013918979287,0.7745664739884393,75.9,80.0,Timbaúba,PE,-10.759860810207144
2109452,431,0.6109463810895275,0.4872389791183295,71.84,80.0,Raposa,MA,-10.745361891047253
3303807,415,0.49544393558555877,0.4891566265060241,60.27,80.0,Paraty,RJ,-10.725606441444128
3141405,194,0.6258779694207695,0.6443298969072165,73.31,80.0,Medina,MG,-10.722203057923053
1707009,233,0.5028864888137627,0.6094420600858369,61.01,80.0,Dianópolis,TO,-10.721351118623723
1502939,510,0.5533063448103583,0.6941176470588235,66.05,80.0,Dom Eliseu,PA,-10.71936551896416
2206407,122,0.5601164453880227,0.4180327868852459,66.72,80.0,Monsenhor Gil,PI,-10.708355461197726
2104057,500,0.5244141464841751,0.606,63.09,80.0,Estreito,MA,-10.648585351582497
1505536,2854,0.5206391307430596,0.5059565522074282,62.71,80.0,Parauapebas,PA,-10.646086925694043
4216008,128,0.6935550532415007,0.7265625,80.0,80.0,São Carlos,SC,-10.644494675849927
4212809,374,0.56860601762617,0.5347593582887701,67.49,80.0,Balneário Piçarras,SC,-10.629398237382993
2901106,140,0.40152309313099566,0.4714285714285714,50.77,80.0,Amélia Rodrigues,BA,-10.617690686900438
4204558,168,0.5563592879092288,0.5654761904761905,66.25,80.0,Correia Pinto,SC,-10.614071209077117
2108801,103,0.6939566502497758,0.4174757281553398,80.0,80.0,Pirapemas,MA,-10.604334975022425
2806305,124,0.3062762664201828,0.21774193548387097,41.22,80.0,Santa Luzia do Itanhy,SE,-10.592373357981721
1500107,1270,0.418748649811698,0.3653543307086614,52.46,80.0,Abaetetuba,PA,-10.5851350188302
2807600,184,0.30203213922222505,0.391304347826087,40.77,80.0,Umbaúba,SE,-10.566786077777497
3151404,269,0.694429640994252,0.7881040892193308,80.0,80.0,Pitangui,MG,-10.557035900574803
2103158,117,0.6944453419598102,0.8803418803418803,80.0,80.0,Centro do Guilherme,MA,-10.55546580401898
3305752,339,0.5289124337350732,0.551622418879056,63.44,80.0,Tanguá,RJ,-10.548756626492676
2704302,6460,0.41546275002597244,0.4072755417956656,52.09,80.0,Maceió,AL,-10.543724997402762
2931905,256,0.33398725761154135,0.35546875,43.93,80.0,Tucano,BA,-10.531274238845867
3158953,328,0.6245832125954337,0.7012195121951219,72.98,80.0,Santana do Paraíso,MG,-10.521678740456636
2707701,1249,0.397887634497899,0.3907125700560448,50.31,80.0,Rio Largo,AL,-10.521236550210105
2801504,148,0.2976858414334599,0.16216216216216217,40.27,80.0,Carmópolis,SE,-10.501415856654013
3303302,2361,0.505949763698331,0.5124947056332063,61.09,80.0,Niterói,RJ,-10.495023630166905
4202800,390,0.5643502251562771,0.5923076923076923,66.93,80.0,Braço do Norte,SC,-10.4949774843723
2602100,462,0.5601697024121637,0.6060606060606061,66.49,80.0,Bom Conselho,PE,-10.473029758783625
2708006,513,0.38211078038619317,0.442495126705653,48.68,80.0,Santana do Ipanema,AL,-10.46892196138068
2933455,121,0.5207031611202162,0.5537190082644629,62.52,80.0,Wanderley,BA,-10.44968388797838
2605608,145,0.655547492635679,0.6827586206896552,76.0,80.0,Flores,PE,-10.4452507364321
2612455,154,0.6220984307407571,0.6883116883116883,72.64,80.0,Santa Cruz,PE,-10.430156925924294
2111409,132,0.6595655471663198,0.696969696969697,76.38,80.0,São Luís Gonzaga do Maranhão,MA,-10.423445283368025
2932705,159,0.34387672349532705,0.2641509433962264,44.8,80.0,Uruçuca,BA,-10.41232765046729
5006358,138,0.4580364211779586,0.6739130434782609,56.21,80.0,Paranhos,MS,-10.40635788220414
2414407,278,0.2972691152366618,0.38489208633093525,40.12,80.0,Touros,RN,-10.39308847633382
2202406,137,0.5188964684303672,0.5401459854014599,62.28,80.0,Capitão de Campos,PI,-10.390353156963286
2912905,195,0.3672342890915681,0.37435897435897436,47.09,80.0,Ibirataia,BA,-10.366571090843195
1506195,320,0.5480629744229746,0.546875,65.15,80.0,Rurópolis,PA,-10.34370255770255
2403251,1330,0.4544857724944318,0.36390977443609024,55.79,80.0,Parnamirim,RN,-10.341422750556823
2608057,110,0.6695642720398431,0.6818181818181818,77.29,80.0,Jatobá,PE,-10.333572796015687
2800670,166,0.2796686666420507,0.35542168674698793,38.3,80.0,Boquim,SE,-10.333133335794926
2930204,429,0.31362283383338474,0.24242424242424243,41.68,80.0,Sento Sé,BA,-10.317716616661524
1506138,1080,0.5289314432644265,0.5833333333333334,63.21,80.0,Redenção,PA,-10.316855673557349
